sample_name,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__succinus,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__guillouiae,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__xenophagum,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__agalactiae,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__melaninogenica,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__infantis,Other
12502.0P23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3P18,0.997894737,0,0.000526316,0,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0.001052632
12502.3T11,0,0.968947368,0,0.000526316,0,0,0,0,0,0,0,0,0.001052632,0,0,0,0,0.027894737,0,0,0.001578948
12502.6T21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6T12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6P12,0.398421053,0.601578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1P14,0.999473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316
12502.6P19,0.997894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002105264
12502.0T19,0.019473684,0,0.980526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2T25,0.997894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002105264
12502.6P21,0.943157895,0.056842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1T20,0.895263158,0,0,0.001052632,0.096315789,0,0,0,0,0,0,0,0.001052632,0,0.003157895,0,0,0,0,0,0.003157896
12502.1P19,0.998947368,0,0,0.000526316,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1T14,0.005789474,0,0.003157895,0,0.883684211,0,0,0,0.001052632,0,0.005789474,0.00368421,0.006842105,0,0.001052632,0,0,0,0,0,0.088947369
12502.6T13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2P12,0.005263158,0.712631579,0.002631579,0,0,0,0,0,0.001052632,0,0.035789474,0.058421052,0.020526316,0,0.002631579,0,0,0,0,0.002631579,0.158421059
12502.6T20,0.997894737,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0.001578947
12502.6T07,0.037368421,0.957894737,0.000526316,0,0,0,0,0,0,0.001578947,0,0,0,0,0,0,0,0,0,0,0.00263158
12502.0C18,0.994210526,0,0,0,0.000526316,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0.004736844
12502.0C16,0.385263158,0.612105263,0,0,0.001052632,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0.001052632
12502.1P09,0.996315789,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0.00263158
12502.0C15,0.12,0.015789474,0.005789474,0,0.026842105,0,0,0,0,0.732631579,0,0,0.009473684,0,0,0,0,0,0,0,0.089473688
12502.3P06,0.995263158,0,0,0,0,0,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0.003684211
12502.2P09,0.996842105,0,0,0,0.001052632,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0.001578948
12502.3T06,0.995789474,0,0,0,0.001052632,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0.001052632,0,0.001578948
12502.6T06,0.996315789,0,0,0,0.000526316,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0.000526316,0,0.002105264
12502.1T04,0.96,0,0.034736842,0,0.000526316,0,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0.001052632,0,0.00263158
12502.0T04,0.885263158,0,0.113684211,0,0,0,0,0,0,0.000526316,0,0.000526316,0,0,0,0,0,0,0,0,0
12502.0T10,0.994210526,0,0,0,0.001052632,0,0,0.000526316,0,0.001052632,0,0.000526316,0,0,0,0,0,0,0,0,0.00263158
12502.0H20,0.955263158,0.041052632,0,0,0.001578947,0,0,0.000526316,0,0.001578947,0,0,0,0,0,0,0,0,0,0,0
12502.6P07,0.997894737,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0.000526316
12502.2T09,0.001052632,0,0.994736842,0,0.000526316,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0.003157896
12502.0H19,0.99,0,0.000526316,0,0.000526316,0,0,0.001052632,0,0.001052632,0,0,0.002105263,0,0,0,0,0,0,0,0.004736843
12502.6P02,0.623684211,0.373684211,0,0,0.000526316,0,0,0,0,0.001052632,0,0,0,0.000526316,0,0,0,0,0,0,0.000526316
12502.3T04,0.986842105,0,0,0,0.001052632,0,0,0.000526316,0,0.006842105,0,0,0,0,0,0,0,0,0,0,0.004736842
12502.3T10,0.999473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0
12502.0P09,0.993157895,0,0,0,0.000526316,0,0,0.000526316,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0.00526316
12502.3P04,0.986315789,0,0,0,0.001052632,0,0,0.000526316,0,0.003157895,0,0,0,0,0.000526316,0,0,0,0,0,0.008421055
12502.6T02,0.98,0,0,0,0.000526316,0.000526316,0,0,0,0.000526316,0,0,0,0.000526316,0,0,0,0.013684211,0.001052632,0,0.003157896
12502.3T03,0.995263158,0,0,0,0.000526316,0,0,0,0,0.001578947,0,0,0,0,0,0,0,0,0,0,0.00263158
12502.3T02,0.982105263,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0.016842105,0,0,0.000526316
12502.0T07,0.522105263,0.473157895,0.000526316,0,0,0,0,0,0,0.000526316,0,0,0,0.000526316,0,0,0,0,0.001052632,0,0.002105264
12502.3P02,0.802631579,0.195789474,0,0,0,0,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0.000526316
12502.6P06,0.997894737,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0.001578948
12502.6T03,0.99631579,0,0,0,0.000526316,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0.00263158
12502.0P04,0.986842105,0,0.002631579,0,0,0,0,0,0,0.002631579,0,0,0,0,0,0,0,0,0.000526316,0,0.007368423
12502.6P03,0.001578947,0,0.988421053,0,0.001052632,0,0,0,0,0.001052632,0,0,0,0,0.001578947,0,0,0,0,0,0.00631579
12502.1P04,0.999473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316
