sample_name,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__succinus,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__agalactiae,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria; s__,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus; s__,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus,k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichia; s__,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus; s__parainfluenzae,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__infantis,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__pseudolongum,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__muciniphila,k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__,Other
12502.1H20,0.616842105,0.098421053,0.281578947,0.000526316,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6T06,0.995789474,0.001578947,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3H14,0.666842105,0.327894737,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1T04,0.959473684,0.001052632,0,0.038947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1C19,0,0.993157895,0.004736842,0.000526316,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6H11,0.506842105,0.486842105,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0
12502.3H13,0.066842105,0.928947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0.000526316,0
12502.6C14,0.235789474,0.517894737,0.244210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.0T04,0.897894737,0,0,0.098421053,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0.000526316,0
12502.0T10,0.992105263,0.002105263,0,0,0.003157895,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0
12502.0H20,0.954210526,0.000526316,0.042105263,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0
12502.6C19,0.002631579,0.842105263,0.151578947,0,0.000526316,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0
12502.6P07,0.996842105,0.001052632,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3C17,0.547368421,0.321578947,0.128947368,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6H19,0.41,0.584210526,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0
12502.2T09,0,0.001578947,0,0.996842105,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0
12502.1H19,0.055263158,0.942105263,0.000526316,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0
12502.0H19,0.99,0.001052632,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001052632,0,0,0,0,0,0
12502.6P02,0.636315789,0.002631579,0.357368421,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1C14,0.002105263,0.994736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0
12502.3H18,0.857894737,0.140526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3T04,0.988947368,0.008421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3T10,0.998947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.0P09,0.997368421,0.000526316,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6H15,0.000526316,0.998421053,0,0,0.000526316,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3P04,0.991578947,0.003157895,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0
12502.1C20,0.003684211,0.982631579,0.006842105,0,0.002105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0
12502.6T02,0.975263158,0,0,0,0.001578947,0.016315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2C16,0.507894737,0.08,0.408947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3T03,0.996315789,0.000526316,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0,0.000526316,0
12502.2C12,0.804210526,0.132105263,0.062631579,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0
12502.3C12,0.452105263,0.518947368,0.022105263,0.000526316,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3H20,0.028947368,0.956315789,0.012105263,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3T02,0.988421053,0.000526316,0,0,0,0.010526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2C14,0.001578947,0.995263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0
12502.0T07,0.54,0,0.457368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2H12,0.712631579,0.284210526,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2H16,0.507368421,0.492631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6H18,0.840526316,0.155789474,0,0,0.001578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3P02,0.827894737,0,0.168947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6P06,0.996842105,0.000526316,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6T03,0.995263158,0.001052632,0,0,0.001578947,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6H14,0.766315789,0.232631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3C13,0.006842105,0.985263158,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0
12502.0P04,0.989473684,0.002105263,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0.000526316,0
12502.6P03,0.002631579,0.003684211,0.000526316,0.983684211,0.002105263,0,0,0,0,0.002105263,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0
12502.3C14,0.003684211,0.993684211,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1P04,0.996315789,0.001052632,0,0.000526316,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3H19,0.016315789,0.981052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3P07,0.995263158,0,0,0,0.002105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0
12502.1H14,0.002631579,0.992631579,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001052632,0,0,0,0,0.000526316,0
12502.3H16,0.792105263,0.201578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001578947,0
12502.0P10,0.992631579,0.002105263,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1T02,0.995789474,0,0,0.000526316,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6T09,0.975789474,0,0,0.021052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.0C11,0.948947368,0.001052632,0,0.003157895,0.014210526,0,0,0,0,0,0,0,0,0,0,0,0,0.014736842,0.007368421,0.000526316,0,0,0,0
12502.1C15,0.002105263,0.993684211,0.000526316,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0
12502.1H11,0.001578947,0.998421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6P01,0.994736842,0.001578947,0,0.000526316,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.0C12,0.995263158,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1H18,0.003157895,0.993684211,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0
12502.1H13,0.04,0.955263158,0.001052632,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0
12502.2T02,0.989473684,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6C13,0.002631579,0.995263158,0,0,0.000526316,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2P02,0.888947368,0.000526316,0.106842105,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0
12502.6C20,0.341052632,0.485789474,0.171052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1H17,0.004210526,0.990526316,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0.000526316,0
12502.6T01,0.997368421,0.002105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2H15,0.003157895,0.990526316,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1P10,0.923684211,0.001052632,0.073157895,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2C11,0.344736842,0.648421053,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2C13,0,0.998947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.0T02,0.987894737,0.002631579,0,0,0.001052632,0.006842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0.000526316,0
12502.6C16,0.002631579,0.992105263,0.000526316,0,0.000526316,0,0,0,0,0,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0
12502.2C17,0.371052632,0.448947368,0.176842105,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001052632,0,0
12502.2H19,0.152105263,0.844736842,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2T05,0,0,0.946842105,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0
12502.1C17,0.005263158,0.975263158,0.017368421,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3T09,0.004210526,0.004210526,0.000526316,0.971052632,0.004210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0.000526316,0,0
12502.6T08,0.507368421,0,0.491052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0
12502.1H15,0.002105263,0.988421053,0,0,0,0,0,0,0,0.003157895,0,0,0,0.002105263,0,0,0,0,0,0,0,0,0,0
12502.1C11,0.006315789,0.992631579,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0
12502.1C13,0.002105263,0.995263158,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001052632,0,0,0,0,0,0
12502.1C18,0.035263158,0.963684211,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0
12502.2H17,0.136315789,0.862631579,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3P01,0.861052632,0.001578947,0,0.021052632,0.000526316,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0.111578947,0,0,0.000526316,0,0
12502.2H20,0.108421053,0.865263158,0.024736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2C15,0.000526316,0.999473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3T01,0.997894737,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2H11,0.754210526,0.243157895,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2H13,0.152105263,0.846315789,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3H15,0.001052632,0.976315789,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2T03,0.998947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001052632,0,0
12502.2T10,0.986315789,0.002631579,0,0.002105263,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0,0
12502.2T04,0.977894737,0.004210526,0,0.010526316,0.000526316,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0
12502.2H18,0.534210526,0.464210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6C17,0.328947368,0.628421053,0.042105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2P04,0.993684211,0.003157895,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3C19,0,0.867368421,0.131578947,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.0P02,0.624210526,0.001052632,0.372631579,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6H17,0.017894737,0.979473684,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1T08,0,0.001578947,0.990526316,0.000526316,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0,0
12502.6P09,0.994736842,0.001578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0.000526316,0,0,0
12502.1T03,0.981578947,0.000526316,0,0,0.000526316,0,0,0,0,0.003684211,0,0,0,0,0,0,0,0.002631579,0,0.001052632,0,0,0.000526316,0
12502.3P08,0.062631579,0.000526316,0.933684211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2P07,0.996315789,0.001578947,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3H11,0.785263158,0.211578947,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0
12502.6T04,0.997368421,0.000526316,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1H12,0.612631579,0.386842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2T01,0.994736842,0.000526316,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1C16,0.661052632,0.174210526,0.159473684,0,0.002631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1P02,0.58,0.001052632,0.414210526,0,0.000526316,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0
12502.0T08,0,0.001578947,0.993157895,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2C18,0.435263158,0.560526316,0,0.000526316,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1T10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2P10,0.880526316,0.002631579,0.113684211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001052632,0,0
12502.6P08,0.404736842,0.001578947,0.592105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6H16,0.498421053,0.5,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1C12,0.766315789,0.233157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3C20,0.104736842,0.772105263,0.12,0,0.000526316,0,0,0,0,0,0,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0
12502.6T10,0.994210526,0.001052632,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0
12502.1H16,0.002105263,0.994210526,0.000526316,0,0.000526316,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6H20,0.026842105,0.948947368,0.02,0,0.000526316,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0
12502.6T05,0.001052632,0.002631579,0.993157895,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0.000526316,0
12502.6H12,0.003157895,0.993684211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001578947,0,0,0,0,0,0
12502.2P06,0.992631579,0.002631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3C15,0.004210526,0.894736842,0.002105263,0,0,0,0,0,0,0.003684211,0,0,0,0.003157895,0,0,0.002105263,0,0,0,0,0.004736842,0,0
12502.2T06,0.999473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6P05,0.997894737,0.001052632,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1T05,0.001578947,0.001052632,0.987368421,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0.001052632,0
12502.0T05,0.012105263,0.001578947,0.975263158,0.001052632,0.000526316,0.000526316,0,0,0.000526316,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0.000526316,0,0
12502.3P09,0.996842105,0.000526316,0,0,0.002105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3H17,0.063157895,0.918947368,0.010526316,0,0.002105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0,0
12502.6H4,0.170526316,0.813157895,0,0,0,0.014736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.0C10,0.76,0.235263158,0.001052632,0,0,0,0,0,0,0.001052632,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0
12502.1H4,0.667894737,0.332105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.0C7,0.959473684,0.006315789,0,0.001578947,0,0,0,0,0.002631579,0.002105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6C8,0.569473684,0.430526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6H3,0.647894737,0.001578947,0.347894737,0.000526316,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.0H9,0.974210526,0.007368421,0,0,0,0,0,0.011578947,0.001578947,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2H4,0.792631579,0.207368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3C2,0.602105263,0.268947368,0.128947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.0H4,0.998421053,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1H2,0.700526316,0.245263158,0.053684211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6H10,0.011052632,0.846315789,0.010526316,0,0,0.131052632,0,0,0,0,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0
12502.1H6,0.623157895,0.184210526,0.189473684,0,0,0.002105263,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0
12502.2H2,0.617894737,0.312631579,0.023157895,0,0,0.046315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2H6,0.417894737,0.114736842,0.416842105,0,0,0.049473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6C3,0.343684211,0.524736842,0,0,0,0.131578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1C8,0.020526316,0.976842105,0.000526316,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2C8,0.651578947,0.348421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2C7,0.787368421,0.212631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.0C2,0.998421053,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3C7,0.893157895,0.105789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0
12502.3C1,0.782631579,0.133684211,0.083157895,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0
12502.6H6,0.596315789,0.085789474,0.033157895,0,0.003157895,0.099473684,0.011052632,0,0,0.004736842,0,0,0,0.072631579,0.002631579,0,0.005789474,0,0,0.000526316,0,0,0.000526316,0
12502.3H10,0.692631579,0.26,0.044736842,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6H1,0.486842105,0.507368421,0.005263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3C5,0.851578947,0.078421053,0.068421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6C5,0.591578947,0.197894737,0.210526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3H6,0.161052632,0.473684211,0.078947368,0,0,0.286315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2H9,0.790526316,0.206315789,0.002631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1C6,0.795263158,0.204210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1C2,0.865263158,0.132105263,0.001052632,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0
12502.3H3,0.044736842,0.941578947,0.010526316,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6H9,0.384736842,0.288421053,0.141052632,0,0,0.136842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042105263,0,0
12502.3C6,0.429473684,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1H9,0.678947368,0.321052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2H1,0.765263158,0.219473684,0.002631579,0,0,0.010526316,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1C4,0.000526316,0.999473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2C3,0.283684211,0.715789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2H5,0.535789474,0.464210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1C10,0.788421053,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6C1,0.653684211,0.238947368,0.105263158,0,0,0,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3H2,0.097894737,0.872105263,0.005263158,0,0,0.024210526,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6C10,0.006315789,0.991052632,0,0,0.000526316,0,0,0,0,0,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0
12502.2H8,0.787894737,0.211052632,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6H2,0.409473684,0.418947368,0.152105263,0.000526316,0,0.018947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6H5,0.588421053,0.411052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3C10,0.325263158,0.657894737,0.015263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2H7,0.016842105,0.733684211,0.248421053,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0
